Nat King Cole Trio,spotify:artist:3OpnoUqoRIHWbsFs4Nw0NQ
Johnny Hartman,spotify:artist:7qVvIFc9DktkAc0HKzRhNo
Gary Puckett & The Union Gap,spotify:artist:4asCC4oxQcDzFXhCth2SgQ
Kurt Elling,spotify:artist:1UhC1mCcd9SFXLibHhMX61
Lester Young,spotify:artist:05E3NBxNMdnrPtxF9oraJm
Artie Shaw,spotify:artist:5wam12nGWDBIrLDV78TNSF
Eydie Gormé,spotify:artist:6HnHBbeScFiQKXt3sUQA3Z
Emilie-Claire Barlow,spotify:artist:4doI7TR51c6DTaveTwpIkg
101 Strings Orchestra,spotify:artist:1sLpCr5xThZkGHLw4H0mNE
Blossom Dearie,spotify:artist:5bWApG9Vdshhd1J50UnNf6
Jo Stafford,spotify:artist:1Jqk46QvzUn7SnwmTGX6Cw
Vikki Carr,spotify:artist:3tM3DTmG7ahfACzwqtazLD
Lou Rawls,spotify:artist:1zJBFCev9UwOMcrZsLi2od
Cab Calloway,spotify:artist:03cwCzIWQ8BRmXjGPDAL04
Danny Kaye,spotify:artist:4r6DXcqtllstKwEx3ndKMj
Fausto Papetti,spotify:artist:63OTxIlptWU4lh6St8Ly69
Percy Faith & His Orchestra,spotify:artist:24DQLSng7bKZD4GXLIaQbv
Harry James & His Orchestra,spotify:artist:0jeQx81sgWDrrX5vXJZs5K
Gilbert O'Sullivan,spotify:artist:4HVmeVTQBgvTuvjB1JYwaf
Art Garfunkel,spotify:artist:6kEsKkXuE4olX7m3mNLZkS
Canadian Brass,spotify:artist:51LdwFHCk1yoK1jELZ4VOu
Shirley Bassey,spotify:artist:090VebphoycdEyH165iMqc
Paul Mauriat,spotify:artist:5Oj26LEf8jdgR2woWEjlhi
Petula Clark,spotify:artist:6nKqt1nbSBEq3iUXD1Xgz8
Vera Lynn,spotify:artist:2rJkmlVHePMo2gk0InTZRS
Laura Fygi,spotify:artist:5ETqbIZYRoPMQbly4iVfuB
The Ray Conniff Singers,spotify:artist:6WtWmLPWn1imbcisSfmBvy
Kay Starr,spotify:artist:7rpf45DdbpweG51Acze45i
Fats Waller,spotify:artist:0DYWCXTkNqGFZIf67SrWEa
Tennessee Ernie Ford,spotify:artist:7u6FSuqT3SWE2kO8rNVjfp
The Cascades,spotify:artist:6qF0CJP412Gd50Rn1sFg2o
Jane Monheit,spotify:artist:7rwI5cbw9cUKFVul2rZMiZ
Frankie Avalon,spotify:artist:5zNOI87gG4RttFmYAZWaxQ
Marilyn Monroe,spotify:artist:5sEocv1pFst7o3pam69obY
Tommy Dorsey,spotify:artist:4WoGga7UeRcmjD4ufif4nG
Eddy Arnold,spotify:artist:5QsUbpxSE8lCZ5ga5rnD22
Jack Jones,spotify:artist:6eVCRmRG2HcfL4yx77A9WK
Elmo & Patsy,spotify:artist:3Ubvmshojm0HJHWWr4C6GF
Matt Monro,spotify:artist:06kr5yNAM2rOf4DXemM8fl
Erroll Garner,spotify:artist:6C65D20ASusYqHGSIktfED
Manuel & The Music Of The Mountains,spotify:artist:63jNJ6txlnRE4leSfFoSu3
Debbie Reynolds,spotify:artist:4Zf0pLGYwNB86Y97kisvkn
Brian Hyland,spotify:artist:6YROFUbu5zRCHi2xkir5pk
Jackie Gleason,spotify:artist:2F0kPpQ5mtta1ORIyO2xex
Glenn Miller Orchestra,spotify:artist:6N1ycRllcq7fwHMdeTQD1z
Louis Jordan & His Tympany Five,spotify:artist:62FPyLpIhmk27hBw6RHlhh
Karrin Allyson,spotify:artist:118jMO6hdUQeoDOv0XiLIs
Cole Porter,spotify:artist:6rrwIOOzyvn76SDbkxjIjS
Carmen McRae,spotify:artist:2E3nXyfocf7qfHAIFNbBuj
Patti Page,spotify:artist:4nZN9kln8toEzOifhWG2uF
Frank Chacksfield Orchestra,spotify:artist:4p9uMiH2i6QPYGXx3WmpVi
